"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-10","0.00","70","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-11","0.00","71","47",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-12","0.00","73","41",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-13","0.00","63","36","39"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-14","0.00","57","27","29"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-15","0.00","63","25","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-16",,"69","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-17",,"32","27","28"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-18","0.00","36","24","36"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-19","0.00","46","34","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-20","0.12","50","40","50"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-21","0.03","63","49","63"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-22","0.00","72","43",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-23","0.00","66","29",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-24","0.00","64","28","34"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-25","0.00","63","27","34"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-26","0.03","60","27","52"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-27","0.14","65","51","65"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-28",,"69","54",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-29",,"69","34","38"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-30","0.00","69","35","46"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-31","0.00","66","31",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-01","0.00","71","41","50"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-02","0.00","78","45","48"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-03","0.01","59","47","49"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-04","0.00","57","41","53"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-05","0.00","81","38","46"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-06",,"62","46",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-07","0.14","57","40","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-08","0.02","49","33","35"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-09","0.00","57","35","51"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-10",,"57","50",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-11",,"64","42",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-12","0.08","44","28","35"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-13","0.02","51","28","42"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-14","0.12","52","41","52"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-02-15",,"75","52",
